CustomerID,FirstName,LastName,PlanType,MonthlyCharge,SubscriptionDate
1101,Aaron,Smith,Postpaid,50,2022-01-01
1102,Abigail,Johnson,Prepaid,30,2022-02-15
1103,Adam,Williams,Postpaid,55,2022-04-10
1104,Addison,Jones,Prepaid,28,2022-05-05
1105,Adrian,Brown,Postpaid,52,2022-07-12
1106,Aiden,Davis,Prepaid,35,2022-08-22
1107,Alan,Wilson,Postpaid,50,2023-01-20
1108,Alex,Miller,Prepaid,32,2023-02-28
1109,Alexa,Garcia,Postpaid,57,2023-04-10
1110,Alexander,Rodriguez,Prepaid,29,2023-05-21
1111,Alice,Taylor,Postpaid,49,2023-06-01
1112,Alicia,Anderson,Prepaid,31,2023-07-15
1113,Allison,Thomas,Postpaid,56,2023-08-04
1114,Alvin,Martinez,Prepaid,30,2023-08-15
1115,Amanda,Jackson,Postpaid,54,2023-09-10
1116,Amber,Lee,Prepaid,28,2023-10-05
1117,Amelia,Hernandez,Postpaid,53,2023-10-28
1118,Amy,Gonzalez,Prepaid,32,2023-11-11
1119,Andre,Clark,Postpaid,51,2023-12-01
1120,Andrea,Lewis,Prepaid,33,2023-12-24
